Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
dataset_019	T019	20	1	1	1.07671	0.294036	0.553964	(((6_0_0:0.01155332,14_0_0:0.06469812):0.05900311,16_0_0:0.19449467):0.06543400,((20_0_0:0.09847725,((5_0_0:0.00456709,((12_0_0:0.00284136,4_0_0:0.00057595):0.00164999,10_0_0:0.00041861):0.00621991):0.05261033,(11_0_0:0.00339633,17_0_0:0.00454307):0.04488448):0.04806082):0.02017773,((2_0_0:0.00246687,3_0_0:0.00034320):0.02374558,(((((1_0_0:0.00063310,7_0_0:0.00075822):0.00069902,(9_0_0:0.00002228,13_0_0:0.00003383):0.01116138):0.04776722,15_0_0:0.02640691):0.01251008,19_0_0:0.01071990):0.02670022,(18_0_0:0.00632358,8_0_0:0.00485616):0.02209724):0.00038426):0.17600169):0.01947707);

dataset_020	T020	20	1	1	1.62238	0.410128	0.640224	((((16_0_0:0.15272098,(15_0_0:0.04036836,(6_0_0:0.03671224,14_0_0:0.02945474):0.01146171):0.02628624):0.06258344,((((8_0_0:0.00555480,18_0_0:0.00532553):0.08773252,19_0_0:0.04664516):0.01690781,((13_0_0:0.00002671,9_0_0:0.00003014):0.00526754,7_0_0:0.00635886):0.08201829):0.18651555,((11_0_0:0.00880708,17_0_0:0.00810641):0.01888003,((10_0_0:0.00196176,(4_0_0:0.00136074,12_0_0:0.00112480):0.00171648):0.00367520,5_0_0:0.00880648):0.05004247):0.14605730):0.03800477):0.06153039,20_0_0:0.22270129):0.01388199,((2_0_0:0.00445723,3_0_0:0.00188677):0.00139881,1_0_0:0.00176583):0.22424000);

dataset_021	T021	20	1	1	1.56995	0.495261	0.767641	((16_0_0:0.09796070,((3_0_0:0.00321810,2_0_0:0.00445360):0.00188184,1_0_0:0.00188048):0.03213491):0.17441894,((((4_0_0:0.00231545,12_0_0:0.00103477):0.00143142,10_0_0:0.00338935):0.00642134,5_0_0:0.01366942):0.43056627,((((18_0_0:0.01214581,(8_0_0:0.00327683,6_0_0:0.00666399):0.00281688):0.05894750,(7_0_0:0.00658567,(9_0_0:0.00005541,13_0_0:0.00008877):0.01318384):0.03952909):0.07894815,((19_0_0:0.00475171,20_0_0:0.00150912):0.07662487,15_0_0:0.09371991):0.01459351):0.03373876,((17_0_0:0.01340281,11_0_0:0.01425480):0.09346820,14_0_0:0.06550751):0.09317000):0.01716779):0.05102533);

dataset_022	T022	20	1	1	0.32701	0.0971543	0.187438	((((((15_0_0:0.00806417,(14_0_0:0.07588672,6_0_0:0.00771724):0.00000067):0.00288289,(19_0_0:0.03019243,17_0_0:0.01073936):0.00001919):0.00000000,((8_0_0:0.00090381,18_0_0:0.00000001):0.00013647,7_0_0:0.00259360):0.04100402):0.00257412,20_0_0:0.00093868):0.00862444,(((10_0_0:0.00000026,(4_0_0:0.00230092,12_0_0:0.00000000):0.00004198):0.01485326,5_0_0:0.00784089):0.00000308,16_0_0:0.00384698):0.00411581):0.00031460,(((13_0_0:0.00000017,9_0_0:0.00000002):0.00000902,(1_0_0:0.00026362,(2_0_0:0.00000200,3_0_0:0.00000358):0.00373375):0.00000958):0.00023846,11_0_0:0.04973406):0.04742024);

dataset_023	T023	20	1	1	0.562958	0.164227	0.318241	((((1_0_0:0.00118134,3_0_0:0.00291378):0.01195916,((13_0_0:0.00001885,9_0_0:0.00004576):0.00386970,(7_0_0:0.00043237,14_0_0:0.00038535):0.00383093):0.01778340):0.00037684,16_0_0:0.02460839):0.13961839,((20_0_0:0.03524820,(((5_0_0:0.00608895,(10_0_0:0.00107233,12_0_0:0.00177856):0.00216691):0.00377043,(11_0_0:0.01024010,17_0_0:0.00193059):0.00350212):0.02780540,((18_0_0:0.00373106,((4_0_0:0.00053186,15_0_0:0.00018504):0.00015218,8_0_0:0.00050712):0.00438164):0.02500982,(2_0_0:0.00261331,19_0_0:0.00273049):0.03783825):0.00274411):0.00668094):0.02174777,6_0_0:0.07120464):0.08227231);

