Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
dataset_018	T018	20	1	1	2.29786	0.579495	0.926452	((20_0_0:0.28701323,(((((8_0_0:0.00325493,18_0_0:0.00746834):0.07435051,19_0_0:0.05891703):0.03176024,((13_0_0:0.00007221,9_0_0:0.00006484):0.00810484,7_0_0:0.00514214):0.09651027):0.24829951,((5_0_0:0.02666755,((12_0_0:0.00084235,4_0_0:0.00149270):0.00183055,10_0_0:0.00273493):0.00256734):0.05808816,(11_0_0:0.01073713,17_0_0:0.01169301):0.06383829):0.19883724):0.08361676,(16_0_0:0.25904729,(15_0_0:0.09051922,(6_0_0:0.05912244,14_0_0:0.03641568):0.01490400):0.05756958):0.22190904):0.07275773):0.02578063,((2_0_0:0.00485263,3_0_0:0.00219152):0.00194191,1_0_0:0.00220614):0.16473734);

dataset_019	T019	20	1	1	2.71113	0.631635	1.09244	((20_0_0:0.19426790,(((((18_0_0:0.01045569,8_0_0:0.01183583):0.05561353,19_0_0:0.04491351):0.05024846,((9_0_0:0.00016002,13_0_0:0.00006780):0.01362362,7_0_0:0.00984473):0.09398943):0.36781813,((17_0_0:0.00668130,11_0_0:0.01933215):0.07418300,(5_0_0:0.02224533,((4_0_0:0.00342881,12_0_0:0.00280938):0.00339205,10_0_0:0.00527983):0.00527541):0.14481121):0.16481161):0.03449642,(16_0_0:0.30889423,((14_0_0:0.09343487,6_0_0:0.08406028):0.02733654,15_0_0:0.08054712):0.03760827):0.16025310):0.08936095):0.02226179,((3_0_0:0.00235776,2_0_0:0.00236028):0.00247154,1_0_0:0.00462490):0.45597239);

dataset_020	T020	20	1	1	1.82974	0.473363	0.795056	((((16_0_0:0.13797568,((14_0_0:0.05151024,6_0_0:0.04300464):0.02260396,15_0_0:0.03820239):0.02486279):0.10404393,((((18_0_0:0.00360831,8_0_0:0.00318676):0.06447405,19_0_0:0.05742305):0.02011947,((9_0_0:0.00003700,13_0_0:0.00002182):0.00675702,7_0_0:0.00571081):0.08817420):0.25035371,((5_0_0:0.01158063,(10_0_0:0.00157452,(4_0_0:0.00095410,12_0_0:0.00158502):0.00184436):0.00396567):0.05784827,(11_0_0:0.01331461,17_0_0:0.00499038):0.03762976):0.11683627):0.03816246):0.07499093,20_0_0:0.20218389):0.01488731,((3_0_0:0.00164630,2_0_0:0.00288343):0.00173059,1_0_0:0.00198648):0.31707945);

dataset_021	T021	20	1	1	2.66106	0.860281	1.28176	((((((14_0_0:0.04210773,6_0_0:0.12115854):0.01690490,15_0_0:0.05881969):0.13102456,16_0_0:0.16981049):0.23631113,((((8_0_0:0.00833335,18_0_0:0.00718040):0.09914866,19_0_0:0.05940871):0.04146375,((13_0_0:0.00002457,9_0_0:0.00006146):0.02762732,7_0_0:0.00404727):0.20844290):0.49260492,((17_0_0:0.00725473,11_0_0:0.01277050):0.12959331,((10_0_0:0.00336193,(4_0_0:0.00353019,12_0_0:0.00385829):0.00434948):0.00670669,5_0_0:0.02066636):0.05717586):0.09692001):0.04762623):0.05627606,20_0_0:0.17815550):0.02764162,(1_0_0:0.00404662,(2_0_0:0.00416558,3_0_0:0.00936114):0.00201417):0.26111007);

dataset_022	T022	20	1	1	3.32709	0.840071	1.32418	(((((15_0_0:0.19420836,(6_0_0:0.07788280,14_0_0:0.08191195):0.01720943):0.04353468,16_0_0:0.30539702):0.32673918,(((11_0_0:0.01709039,17_0_0:0.00760527):0.06733475,(((12_0_0:0.00157505,4_0_0:0.00167908):0.00457883,10_0_0:0.00110174):0.00495706,5_0_0:0.01900560):0.15289619):0.22113582,(((18_0_0:0.00729371,8_0_0:0.01829266):0.09489765,19_0_0:0.11180391):0.03737085,(7_0_0:0.00915139,(9_0_0:0.00008888,13_0_0:0.00004069):0.00734559):0.07054574):0.33872512):0.03313890):0.16123983,20_0_0:0.35291091):0.04669502,((3_0_0:0.00268234,2_0_0:0.00308037):0.00212110,1_0_0:0.00491754):0.47890823);

dataset_023	T023	20	1	1	1.68775	0.361749	0.57945	((((((17_0_0:0.00841675,11_0_0:0.01020046):0.04094750,(5_0_0:0.00737994,((12_0_0:0.00054004,4_0_0:0.00068480):0.00221518,10_0_0:0.00168333):0.00211519):0.03469117):0.16947992,((19_0_0:0.04494719,(18_0_0:0.00616781,8_0_0:0.00448654):0.06947054):0.01400244,(7_0_0:0.00406719,(13_0_0:0.00002795,9_0_0:0.00006703):0.00388344):0.18815881):0.04378707):0.03908523,(16_0_0:0.17257171,(15_0_0:0.05911372,(6_0_0:0.03292234,14_0_0:0.03533185):0.02853741):0.03403127):0.10539034):0.07463333,20_0_0:0.21568429):0.00915407,((3_0_0:0.00256998,2_0_0:0.00242476):0.00121034,1_0_0:0.00375294):0.21391995);

dataset_024	T024	20	1	1	2.61954	0.732402	1.31336	((((((11_0_0:0.01351929,17_0_0:0.00742664):0.04093649,((10_0_0:0.00113645,(4_0_0:0.00053419,12_0_0:0.00216891):0.00273075):0.00235236,5_0_0:0.01430736):0.04048505):0.11515406,(((9_0_0:0.00011196,13_0_0:0.00004939):0.01440656,7_0_0:0.01228958):0.28114553,(19_0_0:0.07164021,(8_0_0:0.01518045,18_0_0:0.01800182):0.04795042):0.02837524):0.26053073):0.06994473,(((6_0_0:0.12235563,14_0_0:0.07447259):0.02371576,15_0_0:0.05231910):0.11914512,16_0_0:0.49548628):0.19173405):0.03318731,20_0_0:0.20740695):0.01199456,(1_0_0:0.00404888,(3_0_0:0.00645105,2_0_0:0.01123042):0.00094229):0.20466977);

